,0
0,1521303.7477756916
1,1520303.5646387958
2,1521288.0537053887
3,1521058.3140777391
4,1520699.1026813649
5,1520541.1552370552
6,1520541.1552370552
7,1520541.1552370552
8,1520541.1552370552
9,1520541.1552370552
10,1520541.1552370552
11,1520541.1552370552
12,1520541.1552370552
13,1520541.1552370552
14,1520541.1552370552
15,1520541.1552370552
16,1520541.1552370552
17,1520541.1552370552
18,1520541.1552370552
19,1520541.1552370552
20,1520541.1552370552
21,1520541.1552370552
22,1520541.1552370552
23,1520541.1552370552
24,1520541.1552370552
25,1520541.1552370552
26,1520541.1552370552
27,1520541.1552370552
28,1520541.1552370552
29,1520541.1552370552
30,1520541.1552370552
31,1520541.1552370552
32,1520541.1552370552
33,1515700.0937471618
34,1508964.553171289
35,1508790.5857298148
36,1508790.5857298148
37,1507153.2229158087
38,1507010.890470156
39,1507010.890470156
40,1507010.890470156
41,1507010.890470156
42,1507010.890470156
43,1507010.890470156
44,1507010.890470156
45,1507010.890470156
46,1507010.890470156
47,1507010.890470156
48,1507010.890470156
49,1507010.890470156
50,1507010.890470156
51,1507010.890470156
52,1507010.890470156
53,1507010.890470156
54,1507010.890470156
55,1507010.890470156
56,1507010.890470156
57,1507010.890470156
58,1507010.890470156
59,1507010.890470156
60,1507010.890470156
61,1507010.890470156
62,1507010.890470156
