,0
0,7210.131018676329
1,-1167.2594108718913
2,3553.4492683357093
3,-5697.779391873395
4,-5774.68029122008
5,7852.59189553
6,-6391.221442057751
7,-2226.8110875089187
8,1319.9324700641446
9,-1698.3715292462148
10,-4451.04552053404
11,7565.187967060832
12,688.0331160710193
13,14107.674400403397
14,6229.9456085769925
15,1752.9364164029248
16,-2694.3401019778103
17,-1646.2000352968462
18,-6216.059788672486
19,-1719.3873896282166
20,362.96539993281476
21,10834.742336285068
22,-2192.6538186662365
23,5296.672879980179
24,-2126.9306705396157
25,11690.157165237702
26,2600.892194645945
27,5406.168519467348
28,7948.492910006084
29,5475.857612793101
30,-8.271135322749615
31,1586.3957626661286
32,7731.293651544955
33,3888.049266028218
34,-1550.9967646463774
35,1475.4409938573372
36,-5179.839668970555
37,-3592.7608490595594
38,12446.304582419572
39,-4494.784956153948
40,-2978.592593310168
41,-1069.5730872706044
42,-1926.8481162416283
43,-1174.8670990171377
44,-4951.7325577784795
45,1908.4730411197525
46,-2567.962245695526
47,142.6386133118067
48,1923.2273452673107
49,3190.7548620591406
50,-4636.276869005291
51,-693.5142039195634
52,-14748.909076434793
53,-3013.9429971482605
54,2088.719723214861
55,-2579.12024733657
56,-3803.2581819086336
57,7583.695821748814
58,-1158.4390503456816
59,3223.203499789117
60,237.6066798090469
61,-2304.2290344987996
