,0
0,1495017.4253168772
1,1493773.7808625395
2,1493640.2204674382
3,1493640.2204674382
4,1493640.2204674382
5,1493640.2204674382
6,1493640.2204674382
7,1493640.2204674382
8,1493640.2204674382
9,1493640.2204674382
10,1493640.2204674382
11,1493640.2204674382
12,1493640.2204674382
13,1493640.2204674382
14,1493640.2204674382
15,1493640.2204674382
16,1493640.2204674382
17,1493640.2204674382
18,1493640.2204674382
19,1493640.2204674382
20,1493640.2204674382
21,1493640.2204674382
22,1493640.2204674382
23,1493640.2204674382
24,1493640.2204674382
25,1493640.2204674382
26,1493640.2204674382
27,1493640.2204674382
28,1493640.2204674382
29,1493640.2204674382
30,1493640.2204674382
31,1493640.2204674382
32,1493640.2204674382
33,1493640.2204674382
34,1493640.2204674382
35,1493640.2204674382
36,1493640.2204674382
37,1492969.5227720016
38,1493486.0447280288
39,1493170.4964932662
40,1493170.4964932662
41,1493170.4964932662
42,1498048.1751714754
43,1497853.3277096967
44,1497853.3277096967
45,1497853.3277096967
46,1497853.3277096967
47,1497853.3277096967
48,1497853.3277096967
49,1497853.3277096967
50,1497853.3277096967
51,1497853.3277096967
52,1497853.3277096967
53,1497853.3277096967
54,1497853.3277096967
55,1497853.3277096967
56,1497853.3277096967
57,1497853.3277096967
58,1497853.3277096967
59,1497853.3277096967
60,1497853.3277096967
61,1497853.3277096967
62,1497853.3277096967
