,0
0,1000000.0
1,999992.2309104028
2,1000027.2695353786
3,996091.1102108234
4,994784.6383523195
5,991662.8396442565
6,988003.9561017158
7,988717.6535598894
8,980863.5197164568
9,983886.7315261858
10,987574.9083011062
11,969986.4317312444
12,984104.9666718757
13,978330.253532323
14,975913.7908690386
15,979376.8258902014
16,987567.1986576617
17,1004979.0541244989
18,989471.3396471995
19,974214.3365421497
20,964958.5727884517
21,985496.2784688523
22,970901.515025534
23,982296.5439867588
24,1008402.3142446935
25,1010896.7450041113
26,969685.9100886364
27,980831.2932823206
28,976866.3205240339
29,960357.2225387079
30,935240.3684980759
31,938903.9978910553
32,935561.500656776
33,923706.8601844142
34,894323.7839459664
35,923526.8007832374
36,906267.0788242545
37,897493.0615204077
38,888776.8871381766
39,854831.3769145213
40,846618.2204135905
41,866341.0635642908
42,840742.4612459135
43,840100.8000705767
44,822364.2150675597
45,863752.1786418932
46,865065.6043452634
47,897417.7363605495
48,913672.7263237274
49,907300.329701144
50,929586.8494988811
51,937092.5705071433
52,926250.3359933211
53,921573.1394592552
54,975499.7718850453
55,965538.2463429708
56,972808.3994399149
57,986356.3122456406
58,967337.7681093466
59,947968.0462501689
60,960009.8142607936
61,976049.7511102784
62,999024.5626781738
63,1001416.0946404584
64,995849.5131549798
65,979556.494673363
66,987300.1884383007
67,1005675.8796178994
68,1012159.9939171992
69,979998.4180882147
70,999124.6280610202
71,1004633.6517716427
72,1001557.8274337444
73,971800.5948448984
74,985157.150628453
75,974248.5040297825
76,983379.2665466449
77,989327.2852137014
78,986794.0046669149
79,985232.2495214543
80,1016466.5653406342
81,1022287.4388682642
82,1020848.646674737
83,1043858.9815513312
84,1044869.9798936637
85,1057404.974680207
86,1048898.065352565
87,1067556.1337624479
88,1048033.9666679475
89,1056953.5464207768
90,1038107.2781134475
91,1044239.2863102354
92,1035488.4536357474
93,1068315.0677691814
94,1056470.689483621
95,1042769.6092150852
96,1032309.1306406682
97,1031386.3153747761
98,1058012.0861013404
99,1038226.8735806278
100,1047862.9844746742
101,1059051.5434375866
102,1079347.0129736129
103,1083259.1767925443
104,1079860.2380921638
105,1086004.4641325648
106,1083909.9919523704
107,1084065.3614432085
108,1082137.208456364
109,1076731.261754226
110,1080741.5141101922
111,1084224.8671520965
112,1056101.395615317
113,1044538.4715800147
114,1051350.5216157737
115,1061198.8777134565
116,1060114.644780149
117,1037053.300714448
118,1033796.2433358887
119,1038000.3089053893
120,1061141.507203117
121,1060618.4356345206
122,1071019.7784158685
123,1063208.9277233584
124,1066977.1811913264
125,1042873.6602424687
126,1054260.2693446637
127,1039601.6993106988
128,1051251.398762307
129,1043799.0621060692
130,1038018.2138962437
131,1054183.871383406
132,1064762.3748543588
133,1084533.5053920632
134,1092076.2335172582
135,1093483.1881873573
136,1102643.7060363018
137,1109945.6687314
138,1111942.585292437
139,1137360.5035143748
140,1148843.721810135
141,1146927.5250502296
142,1141680.143801471
143,1140377.9954958565
144,1153790.0517840718
145,1149104.7693440504
146,1158685.9948176348
147,1155059.019770462
148,1146717.8054959767
149,1146384.3625656932
150,1161204.1065837315
151,1159765.0152231231
152,1154133.768216527
153,1167506.9342685393
154,1178017.035617312
155,1167731.483061112
156,1146972.5730496966
157,1153954.7457350553
158,1162849.0305723012
159,1167476.8047259152
160,1187627.7268958841
161,1185268.0682713152
162,1194013.34785601
163,1194686.068678146
164,1194272.893277464
165,1192110.0585592273
166,1186746.2427375196
167,1171983.6624177375
168,1165203.8177289683
169,1167977.3908210036
170,1177553.8344993438
171,1184853.0283734102
172,1192597.042367438
173,1204923.3530995522
174,1202749.7144925105
175,1204448.8583876055
176,1201591.3938048396
177,1209251.7508412814
178,1206978.4406654835
179,1209308.3268476585
180,1209332.867996755
181,1207833.7568167048
182,1197641.9699907023
183,1190857.7392082051
184,1184488.4531644268
185,1202670.1785675911
186,1207575.382830427
187,1203491.8240989428
188,1194309.9904569604
189,1191650.8373236042
190,1198560.3867401308
191,1211506.5759501315
192,1212685.684051876
193,1228049.0548368099
194,1232785.657054665
195,1234326.9373626737
196,1227665.327636901
197,1236114.9318088912
198,1248401.176613247
199,1247907.149009254
200,1260675.6450278116
201,1249171.0295430424
202,1231806.0859054949
203,1243982.2422836542
204,1230768.2616404032
205,1219352.834925346
206,1211366.283471058
207,1192149.6139976054
208,1207824.6200117664
209,1184342.4805309635
210,1195618.8049579985
211,1187621.8515103178
212,1208838.969404864
213,1228590.3095297592
214,1227713.9384176536
215,1249284.0300904294
216,1252770.181826597
217,1254591.4747649508
218,1250382.9810414799
219,1259637.2420651847
220,1270984.7885906105
221,1273195.780016344
222,1277674.6808180742
223,1275751.491066037
224,1278486.35312939
225,1289972.832542153
226,1290028.935853148
227,1295956.5670926434
228,1285249.9004957061
229,1283187.1580278927
230,1301614.513940781
231,1298271.0310744564
232,1289613.5563591232
233,1295263.817506992
234,1297639.096268286
235,1283617.3845946637
236,1297829.0950649627
237,1311300.7271452334
238,1318014.599316656
239,1320985.2983262273
240,1323082.573547888
241,1319863.0224763576
242,1303767.930623323
243,1301597.879183356
244,1309791.9702130354
245,1315432.9415932875
246,1313968.7304016892
247,1315815.2224280394
248,1319579.3948797777
249,1322350.5285174504
250,1320603.2905944837
251,1306822.6520174937
252,1314918.940814429
253,1309743.8036285385
254,1313768.4681146182
255,1316189.8741377231
256,1316797.2811378278
257,1312644.3648529954
258,1309115.3963567673
259,1323360.8810763673
260,1327176.9870768113
261,1317816.80526462
262,1336792.803213707
263,1336605.6409596594
264,1313483.10627143
265,1290667.4684862322
266,1293002.4488198326
267,1290023.4419025464
268,1295784.1534817822
269,1281806.022370034
270,1285652.3092828137
271,1291627.1833560737
272,1310151.890977498
273,1297648.0516690228
274,1262634.879980656
275,1260408.649442057
276,1258668.7457481083
277,1268130.1539389708
278,1263732.430681171
279,1275732.1133294818
280,1271414.27986895
281,1291314.8187281622
282,1297936.2965278232
283,1304853.5628167866
284,1304833.643377946
285,1301227.919634345
286,1296700.2054605281
287,1311119.9978433081
288,1310865.4725883538
289,1306974.5807118227
290,1314663.3342798837
291,1315512.6012446266
292,1314934.3864313392
293,1317640.8030450246
294,1330037.9006028986
295,1327661.7934494757
296,1324060.2558618668
297,1319293.0596895146
298,1324021.2610945562
299,1327342.0967533744
300,1339985.3392093815
301,1344391.2999357076
302,1346191.4385096214
303,1353909.573145792
304,1343911.8593777176
305,1353112.5584839147
306,1359676.8013760683
307,1348963.153880603
308,1354712.2977946252
309,1355800.9147633347
310,1363179.552585182
311,1369299.662402963
312,1361041.8846029255
313,1370869.7838263786
314,1369898.3096315437
315,1367349.0320037801
316,1359186.0092307837
317,1361047.764781805
318,1368203.873566485
319,1366120.7718517906
320,1373858.7859549792
321,1377193.8554876763
322,1376693.743018983
323,1364170.0647811252
324,1373795.9859205133
325,1379090.5121615273
326,1370152.5435152894
327,1368380.8076833826
328,1384238.9322243512
329,1381757.1935071433
330,1362882.9320369754
331,1364268.8787541408
332,1381631.0123413312
333,1368850.1157814108
334,1386410.5835912644
335,1374011.143394902
336,1371556.8915201868
337,1327939.4589702603
338,1311558.4694970932
339,1353191.7937344254
340,1353252.6957923023
341,1359836.6624661942
342,1345262.720167143
343,1331965.2036736268
344,1338050.6176702816
345,1323546.9251561589
346,1311239.4662102263
347,1262171.8316877135
348,1273236.119223288
349,1265832.8095341763
350,1269376.564978784
351,1265674.1697976622
352,1288042.2232454428
353,1270637.1405976592
354,1267024.7809338388
355,1290642.7752633437
356,1284048.9939336427
357,1241593.3048403594
358,1229718.3618119655
359,1240624.5943026731
360,1233943.36402763
361,1258842.2399175956
362,1255091.745998142
363,1254717.9515495787
364,1276280.0951852032
365,1270743.3028424205
366,1270823.5977728528
367,1275042.617307134
368,1266687.078000927
369,1244521.1138243224
370,1245989.248540638
371,1230047.935619531
372,1226351.6898115892
373,1226329.7221981075
374,1206770.068489509
375,1195733.0333633116
376,1190895.7033571152
377,1184059.2474476078
378,1188790.687403468
379,1217936.9361146763
380,1231866.826414141
381,1237860.3949093837
382,1237300.059581658
383,1254098.9773532553
384,1250615.455637769
385,1251499.9805028837
386,1222630.440967123
387,1223334.682454843
388,1233885.250659501
389,1215680.7454291934
390,1233492.4101475638
391,1245344.2579586192
392,1254020.540660148
393,1245788.3515000592
394,1237328.7710315501
395,1233852.9714373027
396,1234487.938853648
397,1255319.2010416437
398,1247931.4808585276
399,1256971.021169018
400,1254822.558600985
401,1253578.3672595622
402,1261167.8430366216
403,1256039.532731475
404,1226923.823961478
405,1224714.6063817362
406,1220397.6731770057
407,1219228.3129405398
408,1237733.8242908856
409,1240359.7728929229
410,1220166.0424382086
411,1217253.2543120494
412,1221705.2511675924
413,1208956.3377830072
414,1212795.0136424894
415,1205644.477692792
416,1217140.246922956
417,1202211.1397499517
418,1197669.5175595465
419,1227409.2192331129
420,1240688.6295679286
421,1253758.4746965005
422,1242636.050518444
423,1248145.5143776992
424,1254640.2049789096
425,1264166.0736467247
426,1269193.9620893078
427,1272723.9732614208
428,1275249.5743351893
429,1277059.372356308
430,1280801.7106703778
431,1295512.1192255653
432,1296987.1162044434
433,1297790.184431527
434,1287830.4945303753
435,1309202.592056079
436,1302576.2246985938
437,1325341.2333723162
438,1321299.1092228584
439,1316603.4678854612
440,1318861.6041538958
441,1312244.6933381013
442,1332415.2351630323
443,1338054.1814131837
444,1333361.0489645915
445,1339032.2046689393
446,1336054.3219888762
447,1330526.6106717733
448,1338567.8385971144
449,1333887.1379742746
450,1332448.3406890514
451,1335024.5505645315
452,1318590.5266941718
453,1330619.2884282495
454,1345416.596289411
455,1343120.2347931366
456,1349089.099512339
457,1347159.6824545257
458,1336241.368202317
459,1333133.4562663678
460,1323820.492505596
461,1322326.383859847
462,1336848.3080184604
463,1342602.8558636333
464,1360735.020040689
465,1349542.8808802967
466,1342035.6802221444
467,1337847.5880033926
468,1337765.3070286396
469,1334624.5040009194
470,1332165.8322905162
471,1328491.0620960623
472,1317870.133201498
473,1311876.2870034163
474,1327028.1646251467
475,1329671.6764794854
476,1329531.366649392
477,1308518.3381913572
478,1321560.621378725
479,1310603.6682040456
480,1309765.7684144715
481,1304400.1803953962
482,1333923.4699451784
483,1352508.1555991606
484,1358599.416334167
485,1353010.457339128
486,1350344.8182067994
487,1353562.0557180503
488,1352933.2957852418
489,1355056.3692300825
490,1360250.5615663033
491,1371066.6633798056
492,1371451.701591728
493,1380048.6588618092
494,1376979.7229330137
495,1376266.0551641542
496,1369640.959873307
497,1380510.5753049068
498,1382264.990430458
499,1381269.9446051267
500,1382456.273897138
501,1383348.3480422834
502,1379236.7747488837
503,1378356.076413198
504,1389759.091140564
505,1394755.864957333
506,1399862.8575296476
507,1398153.908910661
508,1396068.838228729
509,1398802.6770480564
510,1403566.6295343903
511,1410210.4895902472
512,1401935.5378914527
513,1402071.0336766916
514,1403460.5498205319
515,1397218.0663945456
516,1410779.9060932854
517,1413596.0652409615
518,1415644.1836667664
519,1411592.7520679156
520,1412246.6433283798
521,1416110.8524405567
522,1390678.0117024102
523,1390311.6839525863
524,1412388.148268143
525,1407310.6818357145
526,1406143.3590491773
527,1409130.319673543
528,1410077.673584347
529,1421707.7261407946
530,1431652.725386145
531,1427361.512966063
532,1431589.1955389855
533,1425635.1943868063
534,1427011.8469128658
535,1429702.3715534424
536,1437440.4103225875
537,1442212.381253605
538,1421028.6542616705
539,1400387.806814053
540,1396120.989142368
541,1398685.0781511378
542,1424609.0444279073
543,1406801.9719186712
544,1405508.1042112517
545,1425470.0321601084
546,1418361.928828204
547,1408647.5322960715
548,1419445.5401753858
549,1425147.3251072697
550,1403223.6845687965
551,1407837.815614131
552,1394124.644813243
553,1377041.7960544073
554,1352755.692506882
555,1362747.8711715399
556,1370353.4200347315
557,1390017.9027638864
558,1374821.7148926025
559,1385324.823074635
560,1399420.4432763888
561,1396249.699953193
562,1386493.870115511
563,1402670.9539981836
564,1406457.771615926
565,1401447.3514435873
566,1408953.9866082035
567,1413334.7681978496
568,1412879.0559367214
569,1414464.2443343315
570,1414652.606466862
571,1409685.168368164
572,1415963.3186891614
573,1415310.9853499972
574,1414804.902586447
575,1417842.1296449339
576,1429600.8629983433
577,1416886.345983945
578,1428944.1299574496
