,0
0,1387779.4863010056
1,1387246.9564475105
2,1387144.2614295424
3,1387144.2614295424
4,1387144.2614295424
5,1387144.2614295424
6,1387144.2614295424
7,1387144.2614295424
8,1387144.2614295424
9,1387144.2614295424
10,1387144.2614295424
11,1387144.2614295424
12,1387144.2614295424
13,1387144.2614295424
14,1387144.2614295424
15,1387144.2614295424
16,1387144.2614295424
17,1387144.2614295424
18,1387144.2614295424
19,1387144.2614295424
20,1387144.2614295424
21,1387144.2614295424
22,1387144.2614295424
23,1387144.2614295424
24,1387144.2614295424
25,1387144.2614295424
26,1387144.2614295424
27,1387144.2614295424
28,1387144.2614295424
29,1387144.2614295424
30,1387144.2614295424
31,1387144.2614295424
32,1387144.2614295424
33,1387144.2614295424
34,1387144.2614295424
35,1387144.2614295424
36,1387144.2614295424
37,1387144.2614295424
38,1387144.2614295424
39,1387144.2614295424
40,1387144.2614295424
41,1387144.2614295424
42,1387144.2614295424
43,1387144.2614295424
44,1387144.2614295424
45,1387144.2614295424
46,1387144.2614295424
47,1387144.2614295424
48,1387144.2614295424
49,1387144.2614295424
50,1387144.2614295424
51,1387144.2614295424
52,1387144.2614295424
53,1387144.2614295424
54,1387144.2614295424
55,1387144.2614295424
56,1387144.2614295424
57,1386334.2393602363
58,1387135.0722587889
59,1388861.734383252
60,1389944.6294239485
61,1391481.0902044133
62,1390991.1470947408
